Bulbasaur,Grass,Poison,1,False
Ivysaur,Grass,Poison,1,False
Venusaur,Grass,Poison,1,False
Mega Venusaur,Grass,Poison,1,False
Charmander,Fire,Fire,1,False
Charmeleon,Fire,Fire,1,False
Charizard,Fire,Flying,1,False
Squirtle,Water,Water,1,False
Wartortle,Water,Water,1,False
Blastoise,Water,Water,1,False
Caterpie,Bug,Bug,1,False
Metapod,Bug,Bug,1,False
Butterfree,Bug,Flying,1,False
Weedle,Bug,Poison,1,False
Kakuna,Bug,Poison,1,False
Beedrill,Bug,Poison,1,False
Pidgey,Normal,Flying,1,False
Pidgeotto,Normal,Flying,1,False
Pidgeot,Normal,Flying,1,False
Rattata,Normal,Normal,1,False
Raticate,Normal,Normal,1,False
Spearow,Normal,Flying,1,False
Fearow,Normal,Flying,1,False
Ekans,Poison,Poison,1,False
Arbok,Poison,Poison,1,False
Pikachu,Electric,Electric,1,False
Raichu,Electric,Electric,1,False
Sandshrew,Ground,Ground,1,False
Sandslash,Ground,Ground,1,False
Nidoran♀,Poison,Poison,1,False
Nidorina,Poison,Poison,1,False
Nidoqueen,Poison,Ground,1,False
Nidoran♂,Poison,Poison,1,False
Nidorino,Poison,Poison,1,False
Nidoking,Poison,Ground,1,False
Clefairy,Fairy,Fairy,1,False
Clefable,Fairy,Fairy,1,False
Vulpix,Fire,Fire,1,False
Ninetales,Fire,Fire,1,False
Jigglypuff,Normal,Fairy,1,False
Wigglytuff,Normal,Fairy,1,False
Zubat,Poison,Flying,1,False
Golbat,Poison,Flying,1,False
Oddish,Grass,Poison,1,False
Gloom,Grass,Poison,1,False
Vileplume,Grass,Poison,1,False
Paras,Bug,Grass,1,False
Parasect,Bug,Grass,1,False
Venonat,Bug,Poison,1,False
Venomoth,Bug,Poison,1,False
Diglett,Ground,Ground,1,False
Dugtrio,Ground,Ground,1,False
Meowth,Normal,Normal,1,False
Persian,Normal,Normal,1,False
Psyduck,Water,Water,1,False
Golduck,Water,Water,1,False
Mankey,Fighting,Fighting,1,False
Primeape,Fighting,Fighting,1,False
Growlithe,Fire,Fire,1,False
Arcanine,Fire,Fire,1,False
Poliwag,Water,Water,1,False
Poliwhirl,Water,Water,1,False
Poliwrath,Water,Fighting,1,False
Abra,Psychic,Psychic,1,False
